station_id,station_lat,station_lon,station_type,observation_time,forecast_issue_time,forecast_valid_time,lead_time_hours,observed_temperature_c,gfs_temperature_c,station_elevation_m,gfs_reference_elevation_m,elevation_difference_m,observation_qc,forecast_cycle,forecast_hour,gfs_grid_lat,gfs_grid_lon,forecast_source,forecast_file
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-01T12:00:00,2023-01-01T00:00:00,2023-01-01T12:00:00,12,28.8,26.94,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-01T12:00:00,2023-01-01T00:00:00,2023-01-01T12:00:00,12,26.0,23.83,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-02T00:00:00,2023-01-01T00:00:00,2023-01-02T00:00:00,24,12.0,17.37,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-02T00:00:00,2023-01-01T00:00:00,2023-01-02T00:00:00,24,21.0,24.02,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_00_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-02T12:00:00,2023-01-01T00:00:00,2023-01-02T12:00:00,36,30.0,27.48,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-02T12:00:00,2023-01-01T00:00:00,2023-01-02T12:00:00,36,29.0,24.76,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_00_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-02T00:00:00,2023-01-01T12:00:00,2023-01-02T00:00:00,12,12.0,17.02,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_12_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-02T00:00:00,2023-01-01T12:00:00,2023-01-02T00:00:00,12,21.0,23.8,11.27,0.86,10.41,1,12z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_12_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-02T12:00:00,2023-01-01T12:00:00,2023-01-02T12:00:00,24,30.0,27.48,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-02T12:00:00,2023-01-01T12:00:00,2023-01-02T12:00:00,24,29.0,24.58,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-03T00:00:00,2023-01-01T12:00:00,2023-01-03T00:00:00,36,13.0,18.22,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-03T00:00:00,2023-01-01T12:00:00,2023-01-03T00:00:00,36,22.0,24.63,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230101_12_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-02T12:00:00,2023-01-02T00:00:00,2023-01-02T12:00:00,12,30.0,27.11,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-02T12:00:00,2023-01-02T00:00:00,2023-01-02T12:00:00,12,29.0,24.5,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-03T00:00:00,2023-01-02T00:00:00,2023-01-03T00:00:00,24,13.0,18.11,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-03T00:00:00,2023-01-02T00:00:00,2023-01-03T00:00:00,24,22.0,24.44,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_00_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-03T12:00:00,2023-01-02T00:00:00,2023-01-03T12:00:00,36,28.0,27.04,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-03T12:00:00,2023-01-02T00:00:00,2023-01-03T12:00:00,36,29.0,24.57,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_00_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-03T00:00:00,2023-01-02T12:00:00,2023-01-03T00:00:00,12,13.0,17.74,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_12_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-03T00:00:00,2023-01-02T12:00:00,2023-01-03T00:00:00,12,22.0,24.67,11.27,0.86,10.41,1,12z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_12_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-03T12:00:00,2023-01-02T12:00:00,2023-01-03T12:00:00,24,28.0,27.14,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-03T12:00:00,2023-01-02T12:00:00,2023-01-03T12:00:00,24,29.0,24.6,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-04T00:00:00,2023-01-02T12:00:00,2023-01-04T00:00:00,36,15.2,17.82,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-04T00:00:00,2023-01-02T12:00:00,2023-01-04T00:00:00,36,21.0,23.99,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230102_12_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-03T12:00:00,2023-01-03T00:00:00,2023-01-03T12:00:00,12,28.0,27.35,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-03T12:00:00,2023-01-03T00:00:00,2023-01-03T12:00:00,12,29.0,24.37,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-04T00:00:00,2023-01-03T00:00:00,2023-01-04T00:00:00,24,15.2,17.62,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-04T00:00:00,2023-01-03T00:00:00,2023-01-04T00:00:00,24,21.0,24.02,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_00_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-04T12:00:00,2023-01-03T00:00:00,2023-01-04T12:00:00,36,26.8,27.37,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-04T12:00:00,2023-01-03T00:00:00,2023-01-04T12:00:00,36,27.0,24.88,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_00_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-04T00:00:00,2023-01-03T12:00:00,2023-01-04T00:00:00,12,15.2,17.53,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_12_012_subset.grib2
