USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,STATION_ID
427150,99999,MALANJKHAND,IN,,,22.0,80.7,581.0,2001,2025,42715099999
428400,99999,SURAT,IN,,,21.2,72.833,12.0,1944,2025,42840099999
428410,99999,BROACH,IN,,,21.733,73.0,17.0,2001,2024,42841099999
428460,99999,NANDURBAR,IN,,,21.333,74.25,206.0,2016,2025,42846099999
428490,99999,KHARGONE,IN,,,21.817,75.617,251.0,2009,2025,42849099999
428510,99999,JALGAON,IN,,,21.05,75.567,201.0,1944,2025,42851099999
428550,99999,KHANDWA,IN,,VAKD,21.833,76.367,318.0,1944,2025,42855099999
428600,99999,BETUL,IN,,,21.867,77.933,653.0,1973,2025,42860099999
428660,99999,NAGPUR (MAYO HOSPITAL),IN,,,21.15,79.117,311.0,1986,2025,42866099999
428670,99999,DR BABA SAHEB AMBEDKAR INTL,IN,,VANP,21.092,79.047,314.9,1944,2025,42867099999
428710,99999,GONDIA ARPT/BIRSI,IN,,VAGD,21.524,80.288,300.8,1973,2025,42871099999
429150,99999,BULSAR,IN,,,20.617,72.933,15.0,2009,2024,42915099999
429160,99999,DAMAN,IN,,,20.417,72.85,12.0,1978,2025,42916099999
429200,99999,OZAR AIR FORCE STATION /NASHIK ARPT,IN,,VAOZ,20.119,73.914,598.0,1989,2025,42920099999
429210,99999,NASIK CITY,IN,,,19.967,73.817,598.0,2006,2025,42921099999
429250,99999,MALEGAON,IN,,,20.55,74.533,437.0,1944,2025,42925099999
429310,99999,BULDANA,IN,,,20.533,76.233,650.0,1973,2025,42931099999
429330,99999,AKOLA,IN,,,20.7,77.033,282.0,1944,2025,42933099999
429340,99999,AKOLA,IN,,VAAK,20.699,77.059,304.5,1973,2024,42934099999
429350,99999,WASHIM,IN,,,20.117,77.117,565.0,2009,2025,42935099999
429370,99999,AMRAOTI,IN,,,20.933,77.783,370.0,1944,2025,42937099999
429390,99999,WARDHA,IN,,,20.667,78.583,283.0,2007,2025,42939099999
429430,99999,YEOTMAL,IN,,,20.4,78.15,451.0,1973,2025,42943099999
429460,99999,BRAMHAPURI,IN,,,20.6,79.85,229.0,1983,2025,42946099999
430010,99999,DAHANU,IN,,,19.967,72.717,5.0,1944,2025,43001099999
430030,99999,CHHATRAPATI SHIVAJI MAHARAJ INTL,IN,,VABB,19.089,72.868,11.3,1944,2025,43003099999
430090,99999,AHMADNAGAR,IN,,,19.083,74.8,657.0,1944,2025,43009099999
430110,99999,BIR,IN,,,19.0,75.717,519.0,2002,2025,43011099999
430120,99999,JALNA,IN,,,19.833,75.8,538.0,2015,2023,43012099999
430130,99999,AURANGABAD,IN,,,19.883,75.333,579.0,1944,2023,43013099999
430140,99999,AURANGABAD,IN,,VAAU,19.863,75.398,582.5,1973,2025,43014099999
430170,99999,PARBHANI,IN,,,19.133,76.833,422.0,1944,2025,43017099999
430190,99999,PUSAD,IN,,,19.917,77.583,332.0,1983,2023,43019099999
430210,99999,NANDED,IN,,,19.083,77.333,358.0,2015,2025,43021099999
430250,99999,ADILABAD,IN,,,19.65,78.533,269.0,1985,2025,43025099999
430290,99999,CHANDRAPUR,IN,,,19.967,79.3,193.0,1944,2025,43029099999
430570,99999,BOMBAY / COLABA,IN,,,18.9,72.817,11.0,2004,2025,43057099999
430580,99999,ALIBAG,IN,,,18.633,72.867,7.0,2002,2025,43058099999
430600,99999,MATHERAN,IN,,,18.983,73.283,695.0,2017,2025,43060099999
430630,99999,PUNE,IN,,,18.533,73.85,558.0,1944,2025,43063099999
430670,99999,PASHAN CTI,IN,,,18.533,73.85,560.0,2018,2025,43067099999
430690,99999,BARAMATI,IN,,,18.15,74.583,551.0,1984,2025,43069099999
430710,99999,JEUR,IN,,,18.2,75.2,521.0,2015,2025,43071099999
430760,99999,UDGIR,IN,,,18.067,77.117,639.0,2015,2025,43076099999
430810,99999,NIZAMABAD,IN,,,18.667,78.1,381.0,1944,2025,43081099999
430830,99999,MEDAK,IN,,,18.05,78.267,472.0,1987,2025,43083099999
430860,99999,RAMGUNDAM,IN,,,18.767,79.433,156.0,1973,2025,43086099999
430870,99999,HANAMKONDA,IN,,,18.017,79.567,269.0,1944,2025,43087099999
431090,99999,HARNAI,IN,,,17.817,73.1,20.0,1944,2025,43109099999
