USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,STATION_ID
428510,99999,JALGAON,IN,,,21.05,75.567,201.0,1944,2025,42851099999
428660,99999,NAGPUR (MAYO HOSPITAL),IN,,,21.15,79.117,311.0,1986,2025,42866099999
428710,99999,GONDIA ARPT/BIRSI,IN,,VAGD,21.524,80.288,300.8,1973,2025,42871099999
429200,99999,OZAR AIR FORCE STATION /NASHIK ARPT,IN,,VAOZ,20.119,73.914,598.0,1989,2025,42920099999
429250,99999,MALEGAON,IN,,,20.55,74.533,437.0,1944,2025,42925099999
429330,99999,AKOLA,IN,,,20.7,77.033,282.0,1944,2025,42933099999
429340,99999,AKOLA,IN,,VAAK,20.699,77.059,304.5,1973,2024,42934099999
429390,99999,WARDHA,IN,,,20.667,78.583,283.0,2007,2025,42939099999
429430,99999,YEOTMAL,IN,,,20.4,78.15,451.0,1973,2025,42943099999
430130,99999,AURANGABAD,IN,,,19.883,75.333,579.0,1944,2023,43013099999
430140,99999,AURANGABAD,IN,,VAAU,19.863,75.398,582.5,1973,2025,43014099999
430170,99999,PARBHANI,IN,,,19.133,76.833,422.0,1944,2025,43017099999
430210,99999,NANDED,IN,,,19.083,77.333,358.0,2015,2025,43021099999
430290,99999,CHANDRAPUR,IN,,,19.967,79.3,193.0,1944,2025,43029099999
430630,99999,PUNE,IN,,,18.533,73.85,558.0,1944,2025,43063099999
430690,99999,BARAMATI,IN,,,18.15,74.583,551.0,1984,2025,43069099999
431100,99999,RATNAGIRI,IN,,,16.983,73.333,67.0,1944,2025,43110099999
431110,99999,MAHABALESHWAR,IN,,,17.933,73.667,1382.0,1944,2025,43111099999
431130,99999,SATARA,IN,,,17.517,74.05,612.0,2002,2025,43113099999
431170,99999,SOLAPUR,IN,,VASL,17.628,75.935,482.8,1944,2025,43117099999
431570,99999,KOLHAPUR,IN,,VAKP,16.665,74.289,608.4,1973,2025,43157099999
431580,99999,SANGLI,IN,,,16.85,74.6,549.0,1975,2025,43158099999
